gene_id,component,class
PF3D7_0512100,unknown,Unknown
PF3D7_0512200,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0512300,transcription factor TFIIH holo complex,Spliceosomal & RNP complexes (internal)
PF3D7_0512400,unknown,Unknown
PF3D7_0512500,unknown,Unknown
PF3D7_0512600,endomembrane system,Endomembrane System & Golgi ER
PF3D7_0512700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0512800,unknown,Unknown
PF3D7_0512900,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0513000,apicoplast,Apicoplast
PF3D7_0513100,unknown,Unknown
PF3D7_0513200,unknown,Unknown
PF3D7_0513300,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0513400,unknown,Unknown
PF3D7_0513500,"TIM23 mitochondrial import inner membrane translocase complex,apicoplast","Apicoplast,Mitochondrion & related"
PF3D7_0513600,unknown,Unknown
PF3D7_0513700,unknown,Unknown
PF3D7_0513800,endomembrane system,Endomembrane System & Golgi ER
PF3D7_0513900,unknown,Unknown
PF3D7_0514000,ciliary basal body,Cell surface structures
PF3D7_0514100,nucleus,Nucleus (internal)
PF3D7_0514200,apicoplast,Apicoplast
PF3D7_0514300,"apicoplast,mitochondrion","Apicoplast,Mitochondrion & related"
PF3D7_0514500,unknown,Unknown
PF3D7_0514600,unknown,Unknown
PF3D7_0514700,unknown,Unknown
PF3D7_0514800,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0514900,unknown,Unknown
PF3D7_0515000,"Prp19 complex,U2-type catalytic step 1 spliceosome,U2-type catalytic step 2 spliceosome","Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0515100,unknown,Unknown
PF3D7_0515200,unknown,Unknown
PF3D7_0515300,"cytoplasm,endosome,membrane,peroxisome,phagophore assembly site,phosphatidylinositol 3-kinase complex class III type I,phosphatidylinositol 3-kinase complex class III type II","Cytoplasm & Cytosol (internal),Internal organelle (internal),Intracellular protein complexes (internal),Membrane (general),Vesicles & Endosomes"
PF3D7_0515400,apicoplast,Apicoplast
PF3D7_0515500,unknown,Unknown
PF3D7_0515600,unknown,Unknown
PF3D7_0515700,Golgi apparatus,Endomembrane System & Golgi ER
PF3D7_0515800,"cytosol,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0515900,unknown,Unknown
PF3D7_0516000,unknown,Unknown
PF3D7_0516100,membrane,Membrane (general)
PF3D7_0516200,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0516300,apicoplast,Apicoplast
PF3D7_0516400,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0516500,nuclear envelope,Nucleus (internal)
PF3D7_0516600,"apicoplast,cytoplasm","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_0516700,unknown,Unknown
PF3D7_0516800,unknown,Unknown
PF3D7_0516900,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0517000,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0517100,unknown,Unknown
PF3D7_0517200,unknown,Unknown
PF3D7_0517300,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0517400,FACT complex,Spliceosomal & RNP complexes (internal)
PF3D7_0517500,unknown,Unknown
PF3D7_0517600,F-actin capping protein complex,Cytoskeleton & associated
PF3D7_0517700,eukaryotic translation initiation factor 3 complex,Ribosome & translation complexes (internal)
PF3D7_0517800,unknown,Unknown
PF3D7_0517900,unknown,Unknown
PF3D7_0518000,nucleus,Nucleus (internal)
PF3D7_0518100,"apicoplast,mitochondrial matrix,ribonucleoprotein granule","Apicoplast,Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0518200,nucleus,Nucleus (internal)
PF3D7_0518300,"cytosol,nucleus,proteasome core complex beta-subunit complex","Cytoplasm & Cytosol (internal),Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0518400,unknown,Unknown
PF3D7_0518500,catalytic step 2 spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_0518600,unknown,Unknown
PF3D7_0518700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0518800,unknown,Unknown
PF3D7_0518900,unknown,Unknown
PF3D7_0519000,"cytoplasm,histone pre-mRNA 3'end processing complex","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0519100,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_0519200,membrane,Membrane (general)
PF3D7_0519300,mitochondrion,Mitochondrion & related
PF3D7_0519400,unknown,Unknown
PF3D7_0519500,unknown,Unknown
PF3D7_0519600,nucleus,Nucleus (internal)
PF3D7_0519700,unknown,Unknown
PF3D7_0519800,unknown,Unknown
PF3D7_0519900,apicoplast,Apicoplast
PF3D7_0520000,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0520100,unknown,Unknown
PF3D7_0520200,unknown,Unknown
PF3D7_0520300,"Lsm1-7-Pat1 complex,P-body,U4/U6 x U5 tri-snRNP complex,U6 snRNP,catalytic step 2 spliceosome,precatalytic spliceosome","Cytoplasm & Cytosol (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0520400,unknown,Unknown
PF3D7_0520500,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0520600,unknown,Unknown
PF3D7_0520700,Cdc73/Paf1 complex,Spliceosomal & RNP complexes (internal)
PF3D7_0520800,apicoplast,Apicoplast
PF3D7_0520900,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0521000,unknown,Unknown
PF3D7_0521100,unknown,Unknown
PF3D7_0521200,unknown,Unknown
PF3D7_0521300,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0521400,apicoplast,Apicoplast
PF3D7_0521500,unknown,Unknown
PF3D7_0521600,unknown,Unknown
PF3D7_0521700,unknown,Unknown
PF3D7_0521800,"cytoplasm,mitochondrion","Cytoplasm & Cytosol (internal),Mitochondrion & related"
PF3D7_0521900,unknown,Unknown
PF3D7_0522000,unknown,Unknown
PF3D7_0522100,unknown,Unknown
PF3D7_0522200,unknown,Unknown
PF3D7_0522300,nucleolus,Nucleus (internal)
PF3D7_0522400,unknown,Unknown
PF3D7_0522500,large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0522600,apicoplast,Apicoplast
PF3D7_0522700,"apicoplast,cytoplasm","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_0522800,spliceosomal complex,Spliceosomal & RNP complexes (internal)
PF3D7_0522900,unknown,Unknown
PF3D7_0523000,membrane,Membrane (general)
PF3D7_0523100,mitochondrion,Mitochondrion & related
PF3D7_0523200,unknown,Unknown
PF3D7_0523300,unknown,Unknown
PF3D7_0523400,unknown,Unknown
PF3D7_0523500,"cytoplasm,cytoplasmic dynein complex","Cytoplasm & Cytosol (internal),Cytoskeleton & associated"
PF3D7_0523600,unknown,Unknown
PF3D7_0523700,unknown,Unknown
PF3D7_0523800,plasma membrane,Membrane proteins
PF3D7_0523900,apicoplast,Apicoplast
PF3D7_0524000,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0524100,unknown,Unknown
PF3D7_0524200,unknown,Unknown
PF3D7_0524300,unknown,Unknown
PF3D7_0524400,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0524500,unknown,Unknown
PF3D7_0524600,apicoplast,Apicoplast
PF3D7_0524700,unknown,Unknown
PF3D7_0524800,VCP-NPL4-UFD1 AAA ATPase complex,Intracellular protein complexes (internal)
PF3D7_0524900,unknown,Unknown
PF3D7_0525000,unknown,Unknown
PF3D7_0525100,"endoplasmic reticulum,membrane","Endomembrane System & Golgi ER,Membrane (general)"
PF3D7_0525200,extracellular space,Extracellular/Secreted
PF3D7_0525300,unknown,Unknown
PF3D7_0525400,plasma membrane,Membrane proteins
PF3D7_0525500,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0525600,unknown,Unknown
PF3D7_0525700,unknown,Unknown
PF3D7_0525800,unknown,Unknown
PF3D7_0525900,unknown,Unknown
PF3D7_0526000,unknown,Unknown
PF3D7_0526100,apicoplast,Apicoplast
PF3D7_0526200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0526300,unknown,Unknown
PF3D7_0526400,unknown,Unknown
PF3D7_0526500,nucleus,Nucleus (internal)
PF3D7_0526600,unknown,Unknown
PF3D7_0526700,apicoplast,Apicoplast
PF3D7_0526800,unknown,Unknown
PF3D7_0526900,"COPII-coated ER to Golgi transport vesicle,Golgi apparatus,endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment","Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0527000,"MCM complex,nucleus","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_0527100,nucleus,Nucleus (internal)
PF3D7_0527200,unknown,Unknown
PF3D7_0527300,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0527400,unknown,Unknown
PF3D7_0527500,unknown,Unknown
PF3D7_0527600,unknown,Unknown
PF3D7_0527900,spliceosomal complex,Spliceosomal & RNP complexes (internal)
PF3D7_0528000,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0528100,unknown,Unknown
PF3D7_0528200,"eukaryotic translation initiation factor 3 complex,nucleus","Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_0528300,unknown,Unknown
PF3D7_0528400,"Golgi apparatus,endoplasmic reticulum",Endomembrane System & Golgi ER
PF3D7_0528500,"F-actin capping protein complex,cortical cytoskeleton",Cytoskeleton & associated
PF3D7_0528600,unknown,Unknown
PF3D7_0528700,catalytic step 2 spliceosome,Spliceosomal & RNP complexes (internal)
PF3D7_0528800,nucleolus,Nucleus (internal)
PF3D7_0528900,unknown,Unknown
PF3D7_0529000,"apicoplast,plasma membrane","Apicoplast,Membrane proteins"
PF3D7_0529100,unknown,Unknown
PF3D7_0529200,plasma membrane,Membrane proteins
PF3D7_0529300,apicoplast,Apicoplast
PF3D7_0529400,histone methyltransferase complex,Spliceosomal & RNP complexes (internal)
PF3D7_0529500,unknown,Unknown
PF3D7_0529700,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0529800,unknown,Unknown
PF3D7_0529900,nucleus,Nucleus (internal)
PF3D7_0530000,unknown,Unknown
PF3D7_0530100,"SNARE complex,endomembrane system,plasma membrane","Endomembrane System & Golgi ER,Intracellular protein complexes (internal),Membrane proteins"
PF3D7_0530200,"Golgi apparatus,apicoplast","Apicoplast,Endomembrane System & Golgi ER"
PF3D7_0530300,unknown,Unknown
PF3D7_0530400,unknown,Unknown
PF3D7_0530500,apicoplast,Apicoplast
PF3D7_0530600,nucleus,Nucleus (internal)
PF3D7_0530700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0530800,unknown,Unknown
PF3D7_0530900,unknown,Unknown
PF3D7_0531000,unknown,Unknown
PF3D7_0531100,unknown,Unknown
PF3D7_0531200,small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0531300,unknown,Unknown
PF3D7_0531400,U2-type post-mRNA release spliceosomal complex,Spliceosomal & RNP complexes (internal)
PF3D7_0532100,unknown,Unknown
PF3D7_0532200,apicoplast,Apicoplast
PF3D7_0532300,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0532400,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0532500,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0532600,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0601900,unknown,Unknown
PF3D7_0602000,unknown,Unknown
PF3D7_0602100,TRAMP complex,Intracellular protein complexes (internal)
PF3D7_0602200,unknown,Unknown
PF3D7_0602300,unknown,Unknown
PF3D7_0602400,apicoplast,Apicoplast
PF3D7_0602500,Rab-protein geranylgeranyltransferase complex,Intracellular protein complexes (internal)
PF3D7_0602600,"cytoplasm,nucleus,transcription export complex 2","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal),Nucleus (internal)"
PF3D7_0602700,unknown,Unknown
PF3D7_0602800,unknown,Unknown
PF3D7_0602900,unknown,Unknown
PF3D7_0603000,unknown,Unknown
PF3D7_0603100,unknown,Unknown
PF3D7_0603200,unknown,Unknown
PF3D7_0603300,mitochondrial inner membrane,Mitochondrion & related
PF3D7_0603400,unknown,Unknown
PF3D7_0603500,unknown,Unknown
PF3D7_0603600,unknown,Unknown
PF3D7_0603700,"cytoplasm,mitochondrion","Cytoplasm & Cytosol (internal),Mitochondrion & related"
PF3D7_0603800,unknown,Unknown
PF3D7_0603900,unknown,Unknown
PF3D7_0604000,unknown,Unknown
PF3D7_0604100,unknown,Unknown
PF3D7_0604200,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_0604300,unknown,Unknown
PF3D7_0604400,apicoplast,Apicoplast
PF3D7_0604500,unknown,Unknown
PF3D7_0604600,nuclear replication fork,DNA replication & repair complexes (internal)
PF3D7_0604700,"apicoplast,cytoplasm","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_0604800,unknown,Unknown
PF3D7_0604900,apicoplast,Apicoplast
PF3D7_0605000,mitochondrion,Mitochondrion & related
PF3D7_0605100,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0605200,unknown,Unknown
PF3D7_0605300,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0605400,unknown,Unknown
PF3D7_0605500,unknown,Unknown
PF3D7_0605600,unknown,Unknown
PF3D7_0605700,unknown,Unknown
PF3D7_0605800,"Mre11 complex,condensed nuclear chromosome","Chromatin,DNA replication & repair complexes (internal)"
PF3D7_0605900,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_0606000,unknown,Unknown
PF3D7_0606100,NELF complex,Spliceosomal & RNP complexes (internal)
PF3D7_0606200,nucleus,Nucleus (internal)
PF3D7_0606300,unknown,Unknown
PF3D7_0606400,unknown,Unknown
PF3D7_0606500,nucleus,Nucleus (internal)
PF3D7_0606600,P-body,Cytoplasm & Cytosol (internal)
PF3D7_0606700,COPI vesicle coat,Vesicles & Endosomes
PF3D7_0606800,unknown,Unknown
PF3D7_0606900,unknown,Unknown
PF3D7_0607000,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0607100,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0607200,unknown,Unknown
PF3D7_0607300,"apicoplast,cytosol","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_0607400,trans-Golgi network,Endomembrane System & Golgi ER
PF3D7_0607500,mitochondrial inner membrane,Mitochondrion & related
PF3D7_0607600,unknown,Unknown
PF3D7_0607700,unknown,Unknown
PF3D7_0607800,mitochondrion,Mitochondrion & related
PF3D7_0607900,unknown,Unknown
PF3D7_0608000,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0608100,apicoplast,Apicoplast
PF3D7_0608200,unknown,Unknown
PF3D7_0608300,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0608310,unknown,Unknown
PF3D7_0608400,unknown,Unknown
PF3D7_0608500,proteasome core complex alpha-subunit complex,Intracellular protein complexes (internal)
PF3D7_0608600,unknown,Unknown
PF3D7_0608700,chaperonin-containing T-complex,Intracellular protein complexes (internal)
PF3D7_0608800,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0608900,unknown,Unknown
PF3D7_0609000,unknown,Unknown
PF3D7_0609100,membrane,Membrane (general)
PF3D7_0609200,mitochondrial matrix,Mitochondrion & related
PF3D7_0609300,unknown,Unknown
PF3D7_0609400,unknown,Unknown
PF3D7_0609500,unknown,Unknown
PF3D7_0609600,unknown,Unknown
PF3D7_0609700,unknown,Unknown
PF3D7_0609800,"Golgi apparatus,endoplasmic reticulum",Endomembrane System & Golgi ER
PF3D7_0609900,transcription factor TFIIIC complex,Intracellular protein complexes (internal)
PF3D7_0610000,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_0610100,spliceosomal complex,Spliceosomal & RNP complexes (internal)
PF3D7_0610200,unknown,Unknown
PF3D7_0610400,unknown,Unknown
PF3D7_0610500,unknown,Unknown
PF3D7_0610600,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0610700,unknown,Unknown
PF3D7_0610800,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0610900,DSIF complex,Spliceosomal & RNP complexes (internal)
PF3D7_0611000,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0611100,unknown,Unknown
PF3D7_0611200,unknown,Unknown
PF3D7_0611300,unknown,Unknown
PF3D7_0611400,nucleus,Nucleus (internal)
PF3D7_0611500,unknown,Unknown
PF3D7_0611600,unknown,Unknown
PF3D7_0611700,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0611800,unknown,Unknown
PF3D7_0611900,unknown,Unknown
PF3D7_0612000,unknown,Unknown
PF3D7_0612100,eukaryotic translation initiation factor 3 complex,Ribosome & translation complexes (internal)
PF3D7_0612200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0612300,unknown,Unknown
PF3D7_0612400,unknown,Unknown
PF3D7_0612500,unknown,Unknown
PF3D7_0612600,cytosolic tRNA wobble base thiouridylase complex,Intracellular protein complexes (internal)
PF3D7_0612700,unknown,Unknown
PF3D7_0612800,unknown,Unknown
PF3D7_0612900,nucleolus,Nucleus (internal)
PF3D7_0613000,unknown,Unknown
PF3D7_0613100,unknown,Unknown
PF3D7_0613200,apicoplast,Apicoplast
PF3D7_0613300,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_0613400,apicoplast,Apicoplast
PF3D7_0613500,unknown,Unknown
PF3D7_0613600,apicoplast,Apicoplast
PF3D7_0613700,unknown,Unknown
PF3D7_0613800,unknown,Unknown
PF3D7_0613900,"actin cytoskeleton,cytoplasm,membrane","Cytoplasm & Cytosol (internal),Cytoskeleton & associated,Membrane (general)"
PF3D7_0614000,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0614100,unknown,Unknown
PF3D7_0614200,unknown,Unknown
PF3D7_0614300,membrane,Membrane (general)
PF3D7_0614400,"Prp19 complex,catalytic step 2 spliceosome","Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0614500,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0614600,unknown,Unknown
PF3D7_0614700,unknown,Unknown
PF3D7_0614800,nucleus,Nucleus (internal)
PF3D7_0614900,apicoplast,Apicoplast
PF3D7_0615000,unknown,Unknown
PF3D7_0615100,apicoplast,Apicoplast
PF3D7_0615200,unknown,Unknown
PF3D7_0615300,unknown,Unknown
PF3D7_0615400,P-body,Cytoplasm & Cytosol (internal)
PF3D7_0615500,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0615600,preribosome large subunit precursor,Ribosome & translation complexes (internal)
PF3D7_0615700,nucleus,Nucleus (internal)
PF3D7_0615800,unknown,Unknown
PF3D7_0615900,unknown,Unknown
PF3D7_0616000,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0616100,unknown,Unknown
PF3D7_0616200,Ndc80 complex,Intracellular protein complexes (internal)
PF3D7_0616300,unknown,Unknown
PF3D7_0616400,apicoplast,Apicoplast
PF3D7_0616500,unknown,Unknown
PF3D7_0616600,unknown,Unknown
PF3D7_0616700,Golgi apparatus,Endomembrane System & Golgi ER
PF3D7_0616800,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0616900,unknown,Unknown
PF3D7_0617000,mitochondrial outer membrane translocase complex,Mitochondrion & related
PF3D7_0617100,AP-2 adaptor complex,Intracellular protein complexes (internal)
PF3D7_0617200,"endoplasmic reticulum,nuclear outer membrane-endoplasmic reticulum membrane network,ribonucleoprotein complex","Endomembrane System & Golgi ER,Spliceosomal & RNP complexes (internal)"
PF3D7_0617300,unknown,Unknown
PF3D7_0617800,"nucleosome,nucleus","Chromatin,Nucleus (internal)"
PF3D7_0617900,unknown,Unknown
PF3D7_0618000,unknown,Unknown
PF3D7_0618100,unknown,Unknown
PF3D7_0618200,unknown,Unknown
PF3D7_0618300,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0618400,unknown,Unknown
PF3D7_0618500,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0618600,unknown,Unknown
PF3D7_0618700,"TRAPP complex,cis-Golgi network,trans-Golgi network","Endomembrane System & Golgi ER,Intracellular protein complexes (internal)"
PF3D7_0618800,unknown,Unknown
PF3D7_0618900,endoplasmic reticulum,Endomembrane System & Golgi ER
PF3D7_0619000,"Golgi apparatus,apicoplast,late endosome","Apicoplast,Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0619100,unknown,Unknown
PF3D7_0619200,unknown,Unknown
PF3D7_0619300,unknown,Unknown
PF3D7_0619400,"VCP-NPL4-UFD1 AAA ATPase complex,cytosol,nucleus","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal),Nucleus (internal)"
PF3D7_0619500,unknown,Unknown
PF3D7_0619600,unknown,Unknown
PF3D7_0619700,unknown,Unknown
PF3D7_0619800,nucleus,Nucleus (internal)
PF3D7_0619900,"U2 snRNP,U2-type prespliceosome,catalytic step 2 spliceosome",Spliceosomal & RNP complexes (internal)
PF3D7_0620000,unknown,Unknown
PF3D7_0620100,unknown,Unknown
PF3D7_0620200,unknown,Unknown
PF3D7_0620300,unknown,Unknown
PF3D7_0620400,unknown,Unknown
PF3D7_0620500,mRNA cleavage stimulating factor complex,Spliceosomal & RNP complexes (internal)
PF3D7_0620600,unknown,Unknown
PF3D7_0620700,unknown,Unknown
PF3D7_0621000,apicoplast,Apicoplast
PF3D7_0621100,unknown,Unknown
PF3D7_0621200,unknown,Unknown
PF3D7_0621300,nucleolus,Nucleus (internal)
PF3D7_0621350,"Golgi membrane,trans-Golgi network",Endomembrane System & Golgi ER
PF3D7_0621400,unknown,Unknown
PF3D7_0621500,nucleolar ribonuclease P complex,Spliceosomal & RNP complexes (internal)
PF3D7_0621700,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0621800,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0621900,signal recognition particle endoplasmic reticulum targeting,Endomembrane System & Golgi ER
PF3D7_0622000,unknown,Unknown
PF3D7_0622100,unknown,Unknown
PF3D7_0622200,endoplasmic reticulum,Endomembrane System & Golgi ER
PF3D7_0622300,"endoplasmic reticulum,vacuolar transporter chaperone complex","Endomembrane System & Golgi ER,Vacuole/Lysosome & related"
PF3D7_0622400,unknown,Unknown
PF3D7_0622500,unknown,Unknown
PF3D7_0622600,unknown,Unknown
PF3D7_0622700,apicoplast,Apicoplast
PF3D7_0622800,unknown,Unknown
PF3D7_0622900,unknown,Unknown
PF3D7_0623000,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0623100,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0623200,apicoplast,Apicoplast
PF3D7_0623300,unknown,Unknown
PF3D7_0623400,ribonucleoprotein complex,Spliceosomal & RNP complexes (internal)
PF3D7_0623500,apicoplast,Apicoplast
PF3D7_0623600,nucleus,Nucleus (internal)
PF3D7_0623700,mitochondrial degradosome,Mitochondrion & related
PF3D7_0623800,unknown,Unknown
PF3D7_0623900,ribonuclease H2 complex,Spliceosomal & RNP complexes (internal)
PF3D7_0624000,"cytosol,mitochondrion","Cytoplasm & Cytosol (internal),Mitochondrion & related"
PF3D7_0624100,unknown,Unknown
PF3D7_0624200,unknown,Unknown
PF3D7_0624300,unknown,Unknown
PF3D7_0624400,unknown,Unknown
PF3D7_0624500,"cullin-RING ubiquitin ligase complex,nucleus","Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0624600,"chromatin,nucleus","Chromatin,Nucleus (internal)"
PF3D7_0624700,endoplasmic reticulum,Endomembrane System & Golgi ER
PF3D7_0624800,unknown,Unknown
PF3D7_0624900,"Golgi apparatus,microtubule","Cytoskeleton & associated,Endomembrane System & Golgi ER"
PF3D7_0625000,"Golgi membrane,endoplasmic reticulum membrane,plasma membrane","Endomembrane System & Golgi ER,Membrane proteins"
PF3D7_0625100,"Golgi membrane,endoplasmic reticulum membrane,plasma membrane","Endomembrane System & Golgi ER,Membrane proteins"
PF3D7_0625200,unknown,Unknown
PF3D7_0625300,unknown,Unknown
PF3D7_0625400,unknown,Unknown
PF3D7_0625500,unknown,Unknown
PF3D7_0625600,nucleus,Nucleus (internal)
PF3D7_0625700,unknown,Unknown
PF3D7_0625800,unknown,Unknown
PF3D7_0625900,unknown,Unknown
PF3D7_0626000,histone methyltransferase complex,Spliceosomal & RNP complexes (internal)
PF3D7_0626100,unknown,Unknown
PF3D7_0626200,unknown,Unknown
PF3D7_0626300,unknown,Unknown
PF3D7_0626400,unknown,Unknown
PF3D7_0626500,cytoskeleton,Cytoskeleton & associated
PF3D7_0626600,apicoplast,Apicoplast
PF3D7_0626700,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0626800,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0626900,mitochondrial large ribosomal subunit,Mitochondrion & related
PF3D7_0627000,unknown,Unknown
PF3D7_0627100,unknown,Unknown
PF3D7_0627200,myosin II complex,Cytoskeleton & associated
PF3D7_0627300,unknown,Unknown
PF3D7_0627400,TIM22 mitochondrial import inner membrane insertion complex,Mitochondrion & related
PF3D7_0627500,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0627600,unknown,Unknown
PF3D7_0627700,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0627800,unknown,Unknown
PF3D7_0627900,"ribonuclease MRP complex,ribonuclease P complex",Spliceosomal & RNP complexes (internal)
PF3D7_0628000,unknown,Unknown
PF3D7_0628100,unknown,Unknown
PF3D7_0628200,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0628300,unknown,Unknown
PF3D7_0628400,unknown,Unknown
PF3D7_0628500,unknown,Unknown
PF3D7_0628600,"NuA4 histone acetyltransferase complex,Swr1 complex",Spliceosomal & RNP complexes (internal)
PF3D7_0628700,unknown,Unknown
PF3D7_0628800,"glutamyl-tRNA(Gln) amidotransferase complex,mitochondrion","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0628900,unknown,Unknown
PF3D7_0629000,unknown,Unknown
PF3D7_0629100,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0629200,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0629300,apicoplast,Apicoplast
PF3D7_0629400,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0629500,membrane,Membrane (general)
PF3D7_0629600,"CURI complex,UTP-C complex","Intracellular protein complexes (internal),Ribosome & translation complexes (internal)"
PF3D7_0629700,histone methyltransferase complex,Spliceosomal & RNP complexes (internal)
PF3D7_0629800,cullin-RING ubiquitin ligase complex,Ubiquitin & proteasome complexes (internal)
PF3D7_0629900,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0630000,unknown,Unknown
PF3D7_0630100,unknown,Unknown
PF3D7_0630200,apicoplast,Apicoplast
PF3D7_0630300,epsilon DNA polymerase complex,DNA replication & repair complexes (internal)
PF3D7_0630400,unknown,Unknown
PF3D7_0630500,unknown,Unknown
